date,open,high,close,low,volume,amount,factor
2015-01-23,29.95,29.95,28.86,28.8,4200522.0,122637736.0,1.0
2015-01-26,28.76,29.28,29.12,28.52,2221004.0,64285692.0,1.0
2015-01-27,29.15,29.3,28.87,28.63,2335136.0,67712128.0,1.0
2015-01-28,28.99,29.36,28.92,28.69,2149477.0,62493228.0,1.0
2015-01-29,28.53,28.8,28.11,27.98,2344407.0,66418224.0,1.0
2015-01-30,28.0,28.28,27.83,27.67,1439634.0,40203708.0,1.0
2015-02-02,27.59,28.13,27.96,27.39,1281770.0,35721344.0,1.0
2015-02-03,28.1,28.75,28.49,28.0,1694485.0,48153976.0,1.0
2015-02-04,28.5,28.59,27.94,27.9,1675081.0,47205180.0,1.0
2015-02-05,28.09,28.18,27.7,27.68,1170801.0,32672372.0,1.0
2015-02-06,27.69,27.83,26.85,26.76,1561901.0,42282528.0,1.0
2015-02-09,26.67,27.09,26.78,26.6,774961.0,20778646.0,1.0
2015-02-10,26.88,26.95,26.91,26.75,908532.0,24361364.0,1.0
2015-02-11,26.95,27.14,27.11,26.84,865863.0,23337498.0,1.0
2015-02-12,27.06,27.39,27.26,27.0,860397.0,23451600.0,1.0
2015-02-13,27.26,27.99,27.8,27.26,1605237.0,44549432.0,1.0
2015-02-16,27.83,27.98,27.85,27.63,1110422.0,30859464.0,1.0
2015-02-17,27.92,27.92,27.83,27.72,824358.0,22928252.0,1.0
2015-02-25,27.84,27.9,27.23,27.19,1017916.0,27954452.0,1.0
2015-02-26,27.14,27.7,27.69,27.14,990781.0,27260548.0,1.0
2015-02-27,27.69,27.84,27.84,27.62,1190773.0,33054660.0,1.0
2015-03-02,27.99,28.25,28.23,27.82,1968964.0,55245028.0,1.0
2015-03-03,28.2,28.2,27.79,27.77,1470047.0,41020820.0,1.0
2015-03-04,27.75,28.07,28.03,27.68,1448173.0,40440876.0,1.0
2015-03-05,28.03,28.05,27.96,27.79,1207019.0,33663576.0,1.0
2015-03-06,28.0,28.62,28.41,27.93,3226936.0,91401664.0,1.0
2015-03-09,28.19,28.19,27.79,27.2,2226087.0,61523864.0,1.0
2015-03-10,27.71,27.98,27.74,27.61,1214000.0,33725292.0,1.0
2015-03-11,27.7,27.95,27.73,27.63,1387523.0,38539072.0,1.0
2015-03-12,27.91,27.91,27.31,27.2,1697420.0,46552544.0,1.0
2015-03-13,27.35,27.76,27.71,27.35,1160822.0,32090892.0,1.0
2015-03-16,27.86,28.4,28.34,27.86,2568810.0,72514944.0,1.0
2015-03-17,28.39,29.38,28.78,28.38,3928647.0,113525480.0,1.0
2015-03-18,28.8,29.25,29.16,28.5,2796907.0,80926136.0,1.0
2015-03-19,29.26,29.3,29.0,28.81,2264056.0,65680084.0,1.0
2015-03-20,28.96,29.19,29.11,28.9,2397165.0,69588200.0,1.0
2015-03-23,29.16,29.67,29.45,29.08,3117831.0,91601136.0,1.0
2015-03-24,29.42,29.55,29.0,28.51,2893501.0,83938992.0,1.0
2015-03-25,28.99,30.97,30.74,28.71,6073262.0,184377600.0,1.0
2015-03-26,30.47,30.47,29.89,29.63,3576521.0,107035368.0,1.0
2015-03-27,29.82,30.12,29.9,29.7,1676109.0,50117804.0,1.0
2015-03-30,29.9,30.19,30.06,29.81,2185868.0,65458028.0,1.0
2015-03-31,30.07,30.31,30.24,29.7,3180242.0,95492000.0,1.0
2015-04-01,30.2,30.45,30.33,30.04,2421305.0,73286088.0,1.0
